DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,year,LapTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,Sector1SessionTime_s,Sector2SessionTime_s,Sector3SessionTime_s,LapStartTime_s,PitInTime_s,PitOutTime_s,LapStartDate_s
4,11.0,1.0,0.0,222.0,272.0,290.0,0,4,11.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.955000,0 days 00:00:31.890000,0 days 00:00:21.101000,0 days 01:24:50.568000,0 days 01:25:22.458000,0 days 01:25:43.559000,7e-08,17.955,31.89,21.101,5090.568,5122.458,5143.559,5072.579,0.0,0.0,0.0
4,12.0,1.0,0.0,223.0,271.0,294.0,0,4,12.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.671000,0 days 00:00:31.361000,0 days 00:00:21.152000,0 days 01:26:01.230000,0 days 01:26:32.591000,0 days 01:26:53.743000,7e-08,17.671,31.361,21.152,5161.23,5192.591,5213.743,5143.525,0.0,0.0,0.0
4,13.0,1.0,298.0,221.0,272.0,293.0,0,4,13.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.656000,0 days 00:00:31.335000,0 days 00:00:21.055000,0 days 01:27:11.399000,0 days 01:27:42.734000,0 days 01:28:03.789000,7e-08,17.656,31.335,21.055,5231.399,5262.734,5283.789,5213.709,0.0,0.0,0.0
4,15.0,1.0,0.0,225.0,271.0,297.0,0,4,15.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000071,0 days 00:00:17.978000,0 days 00:00:31.803000,0 days 00:00:21.493000,0 days 01:29:33.085000,0 days 01:30:04.888000,0 days 01:30:26.381000,7.1e-08,17.978,31.803,21.493,5373.085,5404.888,5426.381,5355.073,0.0,0.0,0.0
4,16.0,1.0,290.0,229.0,272.0,288.0,0,4,16.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.828000,0 days 00:00:31.704000,0 days 00:00:21.405000,0 days 01:30:44.209000,0 days 01:31:15.913000,0 days 01:31:37.318000,7e-08,17.828,31.704,21.405,5444.209,5475.913,5497.318,5426.347,0.0,0.0,0.0
4,17.0,1.0,293.0,226.0,268.0,285.0,0,4,17.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.763000,0 days 00:00:31.550000,0 days 00:00:21.528000,0 days 01:31:55.081000,0 days 01:32:26.631000,0 days 01:32:48.159000,7e-08,17.763,31.55,21.528,5515.081,5546.631,5568.159,5497.284,0.0,0.0,0.0
4,18.0,1.0,297.0,227.0,274.0,290.0,0,4,18.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.828000,0 days 00:00:31.530000,0 days 00:00:21.431000,0 days 01:33:05.987000,0 days 01:33:37.517000,0 days 01:33:58.948000,7e-08,17.828,31.53,21.431,5585.987,5617.517,5638.948,5568.125,0.0,0.0,0.0
4,19.0,1.0,291.0,226.0,272.0,289.0,0,4,19.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000071,0 days 00:00:17.754000,0 days 00:00:31.770000,0 days 00:00:21.519000,0 days 01:34:16.702000,0 days 01:34:48.472000,0 days 01:35:09.991000,7.1e-08,17.754,31.77,21.519,5656.702,5688.472,5709.991,5638.914,0.0,0.0,0.0
4,20.0,1.0,301.0,229.0,0.0,297.0,0,4,20.0,1,3,1,2.0,0,2025,0 days 00:00:00.000000073,0 days 00:00:17.709000,0 days 00:00:31.431000,0 days 00:00:24.842000,0 days 01:35:27.700000,0 days 01:35:59.131000,0 days 01:36:23.973000,7.3e-08,17.709,31.431,24.842,5727.7,5759.131,5783.973,5709.957,5780.748,0.0,0.0
4,21.0,2.0,295.0,229.0,271.0,290.0,0,5,1.0,1,3,1,4.0,0,2025,0 days 00:00:00.000000087,0 days 00:00:35.278000,0 days 00:00:31.151000,0 days 00:00:21.386000,0 days 01:36:59.251000,0 days 01:37:30.402000,0 days 01:37:51.788000,8.7e-08,35.278,31.151,21.386,5819.251,5850.402,5871.788,5783.939,0.0,5802.709,0.0
4,22.0,2.0,290.0,229.0,273.0,288.0,0,5,2.0,1,3,1,4.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.591000,0 days 00:00:31.040000,0 days 00:00:21.290000,0 days 01:38:09.379000,0 days 01:38:40.419000,0 days 01:39:01.709000,6.9e-08,17.591,31.04,21.29,5889.379,5920.419,5941.709,5871.754,0.0,0.0,0.0
4,23.0,2.0,293.0,231.0,272.0,288.0,0,5,3.0,1,3,1,4.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.642000,0 days 00:00:31.018000,0 days 00:00:21.352000,0 days 01:39:19.351000,0 days 01:39:50.369000,0 days 01:40:11.721000,7e-08,17.642,31.018,21.352,5959.351,5990.369,6011.721,5941.675,0.0,0.0,0.0
4,24.0,2.0,0.0,230.0,273.0,289.0,0,5,4.0,1,3,1,4.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.664000,0 days 00:00:30.918000,0 days 00:00:21.247000,0 days 01:40:29.385000,0 days 01:41:00.303000,0 days 01:41:21.550000,6.9e-08,17.664,30.918,21.247,6029.385,6060.303,6081.55,6011.687,0.0,0.0,0.0
4,25.0,2.0,296.0,231.0,272.0,294.0,0,5,5.0,1,3,1,3.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.584000,0 days 00:00:30.910000,0 days 00:00:21.151000,0 days 01:41:39.134000,0 days 01:42:10.044000,0 days 01:42:31.195000,6.9e-08,17.584,30.91,21.151,6099.134,6130.044,6151.195,6081.516,0.0,0.0,0.0
4,26.0,2.0,295.0,230.0,274.0,294.0,0,5,6.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.552000,0 days 00:00:30.894000,0 days 00:00:21.174000,0 days 01:42:48.747000,0 days 01:43:19.641000,0 days 01:43:40.815000,6.9e-08,17.552,30.894,21.174,6168.747,6199.641,6220.815,6151.161,0.0,0.0,0.0
4,27.0,2.0,296.0,232.0,272.0,294.0,0,5,7.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.483000,0 days 00:00:30.880000,0 days 00:00:21.159000,0 days 01:43:58.298000,0 days 01:44:29.178000,0 days 01:44:50.337000,6.9e-08,17.483,30.88,21.159,6238.298,6269.178,6290.337,6220.781,0.0,0.0,0.0
4,28.0,2.0,297.0,232.0,274.0,294.0,0,5,8.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.507000,0 days 00:00:30.974000,0 days 00:00:21.047000,0 days 01:45:07.844000,0 days 01:45:38.818000,0 days 01:45:59.865000,6.9e-08,17.507,30.974,21.047,6307.844,6338.818,6359.865,6290.303,0.0,0.0,0.0
